Source:,/home/markd/Documents/Solar/charger/charger.sch,,,,,,
Date:,Thu 29 Oct 2020 11:03:08 PM CDT,,,,,,
Tool:,Eeschema 5.1.5-1.fc30,,,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value.py,,,,,,
Component Count:,100,,,,,,
,,,,,,,
Individual Components:,,,,,,,
,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,,Datasheet
9,1,C25,1000 uF,Device:CP,Capacitor_THT:CP_Radial_D30.0mm_P10.00mm_SnapIn,https://www.digikey.com/en/products/detail/nichicon/LGU2C102MELB/1004303,https://www.mouser.com/ProductDetail/Cornell-Dubilier-CDE/SLPX102M100A3P3?qs=5mhQgkvyHZCZ2uZBF7Bs%2FA%3D%3D
10,3,"C26, C28, C35",10 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31A106KAHNNNE/3886733,~
11,1,C31,1 uF,Device:CP,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,https://www.digikey.com/en/products/detail/illinois-capacitor/105CKR050M/5410527,https://www.mouser.com/ProductDetail/United-Chemi-Con/ELE-101ELL1R0ME11D?qs=sGAEpiMZZMsh%252B1woXyUXj4%252Bf9ki7jDby49t5xL6J1co%3D
12,1,C33,22 nF,Device:C,Capacitor_SMD:C_1206_3216Metric,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/885012208027/5453949,~
14,1,C36,10 uF,Device:CP,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ECE-A1HKS100I/6109487,https://www.mouser.com/ProductDetail/United-Chemi-Con/ELE-101ELL100MF11D?qs=sGAEpiMZZMsh%252B1woXyUXj4%252Bf9ki7jDbylQfEaT1r8GY%3D
15,2,"D1, D2",MUHA110T3G,Device:D,Diode_SMD:D_SMA,https://www.digikey.com/en/products/detail/on-semiconductor/mura110t3g/919928,https://www.digikey.com/en/products/detail/on-semiconductor/mura110t3g/919928
16,2,"D3, D4",B1100-13,Device:D_Schottky,Diode_SMD:D_SMA,https://www.digikey.com/en/products/detail/diodes-incorporated/B1100-13-F/717808,https://www.digikey.com/en/products/detail/diodes-incorporated/b1100q-13-f/6110468
17,1,D5,D_Zener,Device:D_Zener,Diode_SMD:D_SMA,https://www.digikey.com/en/products/detail/micro-commercial-co/SMAJ4744A-TP/950471,https://www.mccsemi.com/pdf/Products/SMBJ5338B-SMBJ5388B(SMB).pdf
18,1,D6,B1100B,Device:D_Schottky,Diode_SMD:D_SMB,https://www.digikey.com/en/products/detail/diodes-incorporated/B1100B-13-F/768766,https://www.digikey.com/en/products/detail/diodes-incorporated/B1100B-13-F/768766
19,2,"FB1, FB2",74279201,Device:Ferrite_Bead_Small,Inductor_SMD:L_0805_2012Metric,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/74279201/1639003,https://www.mouser.com/datasheet/2/445/74279201-1720615.pdf
20,1,J1,OSTT7020150,Connector:Screw_Terminal_01x06,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,https://www.digikey.com/en/products/detail/on-shore-technology-inc/OSTVN06A150/1588866?s=N4IgjCBcoBwJxVAYygMwIYBsDOBTANCAPZQDaIcA7AEwBsIAuoQA4AuUIAyqwE4CWAOwDmIAL6EwABkoBWRCBSQMOAsTIhqAFioBmSYxbtIXXoJHiNYGXOgK0WPIRKRytAAQBBAyDYcAqgJ8rADyqACyuOjYAK48uGKEALQQtorKjmouIDLU3r7GYqKiQA,https://www.mouser.com/ProductDetail/Phoenix-Contact/1725698?qs=sGAEpiMZZMvPvGwLNS67143eXz6yLKIOycfUSa3x6pY%3D
21,2,"J2, J3",Conn_01x06,Connector_Generic:Conn_01x06,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,https://www.digikey.com/en/products/detail/amphenol-icc-fci/68000-406HLF/1878471,~
